#############################################
# term	total document / document frequency #
#############################################
0144	331.666666667
021-51575678	426.428571429
021	94.7619047619
0.50	639.642857143
05	64.6570397112
06	54.2727272727
07	115.548387097
08	172.211538462
09日	344.423076923
100007	1053.52941176
1-0	373.125
10	6.04047217538
10亿	132.666666667
1-1	381.063829787
○	117.828947368
11分	308.793103448
120%	381.063829787
12345678	995.0
12345678@sohu.com	995.0
1.	37.8646934461
13分	398.0
13秒	459.230769231
14分	407.045454545
1500	45.572519084
1550	577.741935484
17分	436.829268293
1949年	155.739130435
1分	114.076433121
1亿	95.2659574468
1月	23.7533156499
2005	32.8623853211
2006	22.0295202952
2006年	6.8047112462
2012年	389.347826087
2-0	447.75
20分	117.828947368
211	223.875
2．	143.28
2-1	497.5
21分	161.351351351
2-2	577.741935484
22分	389.347826087
2.	39.2763157895
24分	436.829268293
2.5G	1194.0
2G	814.090909091
2分	177.326732673
2月	17.8564307079
31分	337.924528302
Ｋ	32.0393559928
3.	43.0528846154
360	146.803278689
367亿	436.829268293
Ｕ	38.5161290323
3C	688.846153846
3G	119.4
3分	131.691176471
3月	10.5477031802
＞＞＞	459.230769231
4分	255.857142857
4月	6.70535380007
＞＞	511.714285714
5月	6.34881247784
60分	293.606557377
64690729	106.607142857
6日	29.8003327787
7分	303.559322034
7日	22.4155193992
800-820-2004	426.428571429
8.0090	746.25
9：30-11：30	746.25
9分	344.423076923
9日	24.875
A：	484.054054054
a	99.5
about	351.176470588
AC	238.8
Address：	995.0
after	688.846153846
ah-height	358.2
all	325.636363636
also	577.741935484
always	746.25
AMD	235.657894737
an	259.565217391
and	117.058823529
any	511.714285714
are	210.705882353
as	242.027027027
As	778.695652174
at	232.597402597
aw=screen.availWidth-10	358.2
B	37.3125
B：	542.727272727
be	223.875
because	511.714285714
been	447.75
before	577.741935484
BEIJING.	942.631578947
Berlin	778.695652174
BRIGHT	942.631578947
BUILDING1	1279.28571429
but	365.510204082
But	577.741935484
by	293.606557377
C2C	895.5
C	38.3511777302
C：	542.727272727
can	337.924528302
CDMA2000	1377.69230769
CDMA	245.342465753
CEO	85.6937799043
Chinabyte	1628.18181818
CNET	255.857142857
CNNIC	1194.0
Conroe	995.0
Core	942.631578947
could	688.846153846
CPU	746.25
CT	389.347826087
D：	559.6875
DD	54.4376899696
der	778.695652174
did	688.846153846
DMB	1377.69230769
do	381.063829787
don	577.741935484
Duo	1279.28571429
DVD	188.526315789
E3	1119.375
eBay	358.2
EDUCATION	1279.28571429
E-Mail:	639.642857143
EMC	995.0
eNet	81.7808219178
EPS	389.347826087
every	746.25
EXPERIENCE	1279.28571429
F-15	542.727272727
F-16	275.538461538
F-22	526.764705882
F-35	497.5
Fax:	559.6875
find	597.0
first	497.5
for	138.837209302
For	852.857142857
from	288.870967742
function	259.565217391
G	36.2550607287
Gartner	814.090909091
GE	688.846153846
get	526.764705882
go	577.741935484
good	526.764705882
Google	127.928571429
GSM	365.510204082
gt	35.8917835671
H	154.396551724
had	617.586206897
hard	778.695652174
has	365.510204082
have	255.857142857
HD	1377.69230769
he	416.511627907
He	526.764705882
height=	358.2
her	597.0
him	778.695652174
his	447.75
Hotel	426.428571429
HP	688.846153846
HR	192.580645161
HSDPA	1053.52941176
http:	73.4016393443
I	153.076923077
IBM	93.7696335079
IDC	497.5
IDG	1279.28571429
IE	995.0
If	778.695652174
important	852.857142857
in	129.782608696
In	389.347826087
into	526.764705882
IP	238.8
IPO	259.565217391
iPod	511.714285714
IPTV	663.333333333
is	175.588235294
ISO	1194.0
it	252.253521127
IT	36.4765784114
It	407.045454545
its	559.6875
iTunes	942.631578947
just	688.846153846
left=	358.2
like	559.6875
Linux	526.764705882
Live	471.315789474
LoadWin	358.2
Mac	1119.375
make	497.5
man	577.741935484
many	484.054054054
MBA	146.803278689
me	511.714285714
Media	895.5
Merom	995.0
Mobile	746.25
more	331.666666667
most	526.764705882
MP3	194.673913043
MP4	942.631578947
MPEG	1377.69230769
MSN	210.705882353
much	597.0
MVP	344.423076923
my	497.5
NAND	942.631578947
NBA	114.807692308
nbsp10	511.714285714
nbsp11	688.846153846
nbsp1.	617.586206897
nbsp1	94.2631578947
nbsp2006	100.617977528
nbsp2.	597.0
nbsp2	93.28125
nbsp3	110.555555556
nbsp4	121.836734694
nbsp5	157.105263158
nbsp6	221.111111111
nbsp7	255.857142857
nbsp8	319.821428571
nbsp9	436.829268293
nbspG	398.0
new	373.125
NewWin=LoadWin	358.2
NGN	1377.69230769
no	337.924528302
not	267.313432836
now	688.846153846
number	688.846153846
OEM	459.230769231
of	102.342857143
Offer	814.090909091
Office	275.538461538
often	746.25
on	179.1
one	351.176470588
only	471.315789474
Opteron	1279.28571429
or	288.870967742
other	471.315789474
our	459.230769231
out	407.045454545
over	511.714285714
PC	120.201342282
PConline	1377.69230769
PE	398.0
people	389.347826087
place	852.857142857
PlayStation	1194.0
poll	358.2
processForm	1279.28571429
PS3	716.4
q	188.526315789
QFII	319.821428571
Research	559.6875
s	117.058823529
Sandy	895.5
screenX=	358.2
scrollbars	358.2
see	688.846153846
should	459.230769231
since	688.846153846
Skype	778.695652174
so	407.045454545
some	426.428571429
